// ************************
//       интерфейс
// ************************

Energy 			"^%d ^LEnergy: %d^KЈҐ"
EnergyArrow		"%s ^KЎи"
LvlAndSkill 	" ^7Drive Level: ^2%d^7, skill: ^2%4.2f"
PitSaveGood 	"^2Garage"
PitSaveNotGood 	"^3City"
401 			"^3Shop"
402 			"^2Cafe"
404 			"^3Bank"
Dist			"^2%4.3f Km"
Cash 			"%d ^7RUR"

// ************************
//       хелпер
// ************************

200 			"^2Cars"
201 			"^2Fines"
202 			"^2About"

Help1			"^1| ^7RUSSIAN CRUISE"
Help2 			"^1| ^7!lang %s - ^3choose your language"
Help3 			"^1| ^7!info (shift+i) - ^3info screen"
Help4 			"^1| ^7!fines - ^3list of fines"
Help5 			"^1| ^7!cars - ^3list of alloved cars"
Help6 			"^1| ^7!save - ^3save your stats"
Help7 			"^1| ^7!show - ^3show your stats"
Help8 			"^1| ^7!pit - ^3tow your self to pits (^7500 ^3RUR)"
Help9 			"^1| ^7!coffee - ^3coffee (^750 ^3RUR)"
Help10 			"^1| ^7!redbull - ^3Redbull (^7100 ^3RUR)"
Help11			"^1| ^7!tofu - ^3order a tofu (^7800 ^3RUR)"
Help12 			"^1| ^7!users - ^3operations with players"
Help13 			"^1| ^C^7!911 - ^3call Police Officer at the accident"
Help14			"^1| ^C^7!help - ^3command list"

2400 			"^1| ^7Set voluntary intake restriction not less than^2"
2401 			"^1| ^7Turn Off an ^2ABS"
2402 			"^1| ^7You have low power"
2403 			"^1| ^7Take coffee (^3!coffee^7) or Redbull (^3!redbull^7)"
2404 			"^1| ^1Take alloved car ^7(^2!cars^7)"

3100 			"^1| ^7Available Cars:"
3101 			"^2| ^7List your fines:"

// ************************
//    список игроков
// ************************

1000 "Send Money"
1001 "Send a message"

MsgPlFor	"^7For %s"
ItsYou		"^7It's you"

SendMoney	"^5| ^7You sent ^8%s ^7%d ^3RUR."
GetMoney 	"^5| ^8%s ^7sent you ^7%d ^3RUR."
1101 		"^1| ^7you entered an amount greater than what you have in your account."
1102 		"^1| ^7Try select a smaller amount."
MsgFrom  	"^1| ^C^7From %s ^7: ^1%s"

// ************************
//       магазин
// ************************

ShopDialog1 	"^2| ^CShop"
ShopDialog2 	"^2| ^C^7!buy XFG/XRG/etc - ^2buy the car"
ShopDialog3 	"^2| ^C^7!sell XFG/XRG/etc - ^2sell the car"
ShopDialog4 	"^2| ^C^7!tun ECU/TRB/WHT - ^2buy the tuning"
ShopDialog5 	"^2| ^C^7!untun ECU/TRB/WHT - ^2sell the tuning"
1009 			"^1| ^7You can not sell the car when you're sitting in it"
2000 			"^1| ^7You are not in the shop!"

// ************************
//         банк
// ************************

GetMoneyA		"^5| ^7You have recived %d ^3RUR^7"
RemMoneyA		"^5| ^7You have been charged %d ^3RUR^7"

PayDone 		"^2| ^7Fine paid"
NoFine 			"^2| ^7You don't have this Fine"
NoFines 		"^2| ^7You don't have any Fines"
NoOnBank		"^1| ^C^7You are not in the bank"
NoManyPay		"^1| ^C^7You don't have money"

BankDialog1		"^5| Bank"
BankDialog2		"^5| ^7!credit info N - ^2information on the loan in the amount of N"
BankDialog3		"^5| ^7!credit N (!credit 50000) - ^2get a loan in the amount of N"
BankDialog4		"^5| ^7!repay - ^2repay the loan"
BankDialog5		"^5| ^7!deposit info N - ^2information on deposit in the amount of N"
BankDialog6		"^5| ^7!deposit N (!deposit 200000) - ^2open a deposit in the amount of N"
BankDialog7		"^5| ^7!withdraw - ^2close a deposit"
BankDialog8		"^5| ^7!pay N (!pay 13) - ^2pay fine ID = N"
BankDialog9		"^1| ^1^CОсталось ^7%0.0f ^1дня до снятия кредита!"
BankDialog10	"^1| ^1^CСЕГОДНЯ ПОСЛЕДНИЙ ДЕНЬ ДЛЯ ПОГАШЕНИЯ КРЕДИТА!"
BankDialog11	"^1| ^1^CВЫ ПРОСРОЧИЛИ КРЕДИТ!"
BankDialog12	"^1| ^7^CС вашего счета списан кредит (%d) + штраф за каждый пропущенный день"
BankDialog13	"^5| ^C^7Нужен уровень: ^15"
BankDialog14	"^5| ^7^CОшибка. ^7Укажите сумму от %d ^3RUR ^7до %d ^3RUR^7."
BankDialog15	"^5| ^CИнформация по кредиту"
BankDialog16	"^5| ^7^CВы имеете кредит на сумму %d ^3RUR^7. Дата выдачи: %s"
