// ************************
//       интерфейс
// ************************

Energy 			"^%d ^CСили: %d^KЈҐ"
EnergyArrow		"%s ^KЎи"
LvlAndSkill 	" ^C^7Рівень: ^2%d^7, досвід: ^2%4.2f^KЈҐ"
PitSaveGood 	"^2^CГараж"
PitSaveNotGood 	"^3^CMісто"
401 			"^3^CЛавка"
402 			"^2^CКофейня"
404 			"^3^CБанк"
Dist			"^2%4.1f ^C^7Км"
Cash 			"%d ^7^CГРН"

// ************************
//       хелпер
// ************************

200 			"^C^2Автомобілі"
201 			"^C^2Штрафи"
202 			"^C^2О программі"

Help1 			"^1| ^7RUSSIAN CRUISE"
Help2 			"^1| ^C^7!lang %s - ^3вибрати мову"
Help3 			"^1| ^C^7!info (shift+i) - ^3інформаційний екран"
Help4 			"^1| ^C^7!fines - ^3реєстр штрафів"
Help5 			"^1| ^C^7!cars - ^3список доступних автомобілів"
Help6 			"^1| ^C^7!save - ^3збереження особистих данних"
Help7 			"^1| ^C^7!show - ^3відображення особистих данних"
Help8 			"^1| ^C^7!pit - ^3евакуатор до пітів (^7500 ^3ГРН)"
Help9 			"^1| ^C^7!coffee - ^3випити кавИ (^750 ^3ГРН)"
Help10 			"^1| ^C^7!redbull - ^3випити енергетик (^7100 ^3ГРН)"
Help11 			"^1| ^C^7!tofu - ^3замовити тофу (^7800 ^3ГРН)"
Help12 			"^1| ^C^7!users - ^3операції з гравцями"
Help13 			"^1| ^C^7!911 - ^3виклик ДПС на місце ДТП"
Help14 			"^1| ^C^7!help - ^3список команд"

2400 "^1| ^C^7Встановіть обмеження впорскування не менше ^2"
2401 "^1| ^C^7Відключить ^2ABS ^7в налаштуваннях авто"
2402 "^1| ^C^7У вас дуже мало сил"
2403 "^1| ^C^7Випийте каву (^3!coffee^7) чи RedBull (^3!redbull^7)"
2404 "^1| ^C^7Виберіть доступний для вас автомобіль"

3100 "^1| ^C^7Доступні автомобілі:"
3101 "^2| ^C^7Список ваших штрафів:"

// ************************
//    список игроков
// ************************

1000 			"^CПередати гроші"
1001 			"^CПередати повідомлення"

MsgPlFor		"^C^7Для %s"
ItsYou			"^C^7Це ти"

SendMoney		"^5| ^C^7Ви відправили ^8%s ^7%d ^СГРН"
GetMoney 		"^5| ^8%s ^C^7відправив вам ^7%d ^СГРН"
1101 			"^1| ^C^7Ви вказали суму більшу ніж у вас на рахунку"
1102			"^1| ^C^7Спробуйте вказати меншу суму."
MsgFrom			"^1| ^C^7Від ^8%s ^C^7: ^1%s"

// ************************
//       магазин
// ************************

ShopDialog1 	"^2| ^CМагазин"
ShopDialog2 	"^2| ^C^7!buy XFG/XRG/etc - ^2придбати автомобіль"
ShopDialog3 	"^2| ^C^7!sell XFG/XRG/etc - ^2продати автомобіль"
ShopDialog4 	"^2| ^C^7!tun ECU/TRB/WHT - ^2придбати тюнинг"
ShopDialog5 	"^2| ^C^7!untun ECU/TRB/WHT - ^2продати тюнинг"
1009 			"^1| ^7^CНе можна продати автомобіль, в якому ви знаходитесь"
2000 			"^1| ^7^CВи не в магазині"

// ************************
//         банк
// ************************

GetMoneyA		"^5| ^7^CНа ваш рахунок надійшло %d ^3ГРН^7"
RemMoneyA		"^5| ^7^CЗ вашого рахунку списано %d ^3ГРН^7"

PayDone 		"^5| ^C^7Штраф оплачений"
NoFine 			"^5| ^C^7У вас немає цього штрафу"
NoFines 		"^2| ^C^7У вас немає штрафів"
NoOnBank		"^1| ^C^7Ви знаходитесь не в банку"
NoManyPay		"^1| ^C^7На вашому рахунку недостатньо коштів"

BankDialog1		"^5| Bank"
BankDialog2		"^5| ^7!credit info N - ^2^Cінформація по кредиту на суму N"
BankDialog3		"^5| ^7!credit N (!credit 50000) - ^2^Cотримати кредит на суму N"
BankDialog4		"^5| ^7!repay - ^2^Cпогасити кредит"
BankDialog5		"^5| ^7!deposit info N - ^2^Cінформація по вкладу на суму N"
BankDialog6		"^5| ^7!deposit N (!deposit 200000) - ^2^Cвідкрити вкладу на суму N"
BankDialog7		"^5| ^7!withdraw - ^2^Cзакрити вклад"
BankDialog8		"^5| ^7!pay N (!pay 13) - ^2^Cоплатити штраф ID = N"
BankDialog9		"^1| ^1^CЗалишилось ^7%0.0f ^1дні до зняття кредиту!"
BankDialog10	"^1| ^1^CСЬОГОДНІ ОСТАННІЙ ДЕНь ДЛЯ ПОГАШЕННЯ КРЕДИТУ!"
BankDialog11	"^1| ^1^CВИ ПРОСРОЧИЛИ КРЕДИТ!"
BankDialog12	"^1| ^7^CЗ вашого рахунку списаний кредит (%d) + штраф за кожен пропущений день"
BankDialog13	"^5| ^C^7Потрібен рівень: ^15"
BankDialog14	"^5| ^7^CПомилка. ^7вкажіть суму від %d ^3ГРН ^7до %d ^3ГРН^7."
BankDialog15	"^5| ^CІнформація по кредиту"
BankDialog16	"^5| ^7^CВи маєте кредит на суму %d ^3ГРН^7. Дата видачі: %s"
BankDialog17	"^5| ^7^CСума повернення: %d ^3ГРН^7."
BankDialog18	"^5| ^7^CЧас до зняття: ^2%0.0f ^7днів."
BankDialog19	"^5| ^7^CВам доступний кредит на суму от %d ^3ГРН ^7до %d ^3ГРН^7."
BankDialog20	"^5| ^C^7Кредит дається під ^230 %^7, на термін не більше ^230^7 днів."
BankDialog21	"^5| ^C^7При достроковому погашенні буде знята повна сума кредиту + відсоток."
BankDialog22	"^5| ^7^CБажана сума: %d ^3ГРН^7."
BankDialog23	"^5| ^7^CСума повернення: %d ^3ГРН^7."
BankDialog24	"^5| ^C^7Ви не можете взяти кредит, не закривши вклад."
BankDialog25	"^5| ^C^7Потрібен рівень: ^15"
BankDialog26	"^5| ^C^7У вас вже оформлений кредит (^3!credit info^7)"
BankDialog27	"^5| ^7^CПомилка. ^7Вкажіть суму від %d ^3ГРН ^7до %d ^3ГРН^7."
BankDialog28	"^5| ^C^7У видачі кредиту ^1відмовлено^7."
BankDialog29	"^5| ^C^7Сума на вашому рахунку перевищує размір кредиту більш ніж в половину."
BankDialog30	"^5| ^C^7У видачі кредиту ^1відмовлено^7."
BankDialog31	"^5| ^C^7Сума на вашому рахунку нижче -50000 3ГРН^7."
BankDialog32	"^5| ^7^CВи отримали кредит на суму %d ^3ГРН^7."
BankDialog33	"^5| ^C^7У вас немає кредитів."
BankDialog34	"^5| ^C^7На вашому рахунку недостатньо коштів для погашення кредиту."
BankDialog35	"^5| ^7^CВи погасили кредит."
BankDialog36	"^5| ^C^7Потрібен рівень: ^120"
BankDialog37	"^5| ^7^CПомилка . ^7Вкажіть суму до %d ^3ГРН."
BankDialog38	"^5| ^CІнформацІя по вкладу"
BankDialog39	"^5| ^7^CВи маєте вклад на суму %d ^3ГРН^7. Дата відкриття: %s"
BankDialog40	"^5| ^7^CСума на даний момент: %d ^3ГРН^7 (%d ^3ГРН^7 на добу)"
BankDialog41	"^5| ^7^CТермін вклад минув, відсотки не начисляються."
BankDialog42	"^5| ^7^CСума на данний момент: %d ^3ГРН^7 (%d ^3ГРН^7 на добу)"
BankDialog43	"^5| ^7^CДо закриття вкладу залишилось: ^2%0.0f ^7днів."
BankDialog44	"^5| ^7^CВам доступний вклад на суму до %d ^3ГРН."
BankDialog45	"^5| ^C^7Вклад відкривається під ^215 %^7 в місяць, на термін не більше ^230^7 днів."
BankDialog46	"^5| ^7^CБажана сума вкладу: %d ^3ГРН^7."
BankDialog47	"^5| ^7^CСумма с обліком відскотків через ^230 ^7днів: %d ^3ГРН^7 (%d ^3ГРН^7 на добу)."
BankDialog48	"^5| ^7^CВи можете закрити вклад не раніше чим через ^214 ^7днів з моменту вкладу."
BankDialog49	"^5| ^C^7Ви не можете відкрити вклад, не погасивши кредит."
BankDialog50	"^5| ^C^7Потрібен рівень: ^120"
BankDialog51	"^5| ^C^7У вас вже відкритий вклад (^3!deposit info^7)."
BankDialog52	"^5| ^7^CПомилка. ^7Вкажіть суму до  %d ^3ГРН."
BankDialog53	"^5| ^C^7На вашему рахунку недостатньо коштів для відкриття вкладу."
BankDialog54	"^5| ^7^CВи відкрити вклад на суму %d ^3ГРН^7."
BankDialog55	"^5| ^C^7У вас немає вкладів."
BankDialog56	"^5| ^7^CВи закрили вклад."
BankDialog57	"^5| ^7^CБанк отримав неустойку в розмірі %d ^3ГРН^7."
BankDialog58	"^5| ^C^1Увага! ^7Ще не пройшло 14 днів з момента вкладу." 
BankDialog59	"^5| ^7^CВведіть ^3!withdraw yes ^7щоб закрити вклад. Банк отримав неустойку в розмірі ^25 %^7."
BankDialog60	"^5| ^7^CВи закрили вклад."

// ************************
//          тофу
// ************************

1600 			"^3| ^C^2Магазин ^7 Сало Українське"
1601 			"^3| ^C^2!deal ^7- влаштуватися на работу"
1602 			"^3| ^C^2!undeal ^7- звільнитися з работи"
FreeEat			"^3| ^C^2!eat ^7- поїсти сала за рахунок магазину"

2201 			"^3| ^C^7Поступило замовлення на сало, заїдь в магазин Сало Українське"
2202 			"^C^7Забери заказ в магазині сала"

2203 			"^3| ^C^7Нємає вільних працівників"
DelTofu 		"^3| ^C^7Замовлення приняте, очікуй доставки"
UAreDel 		"^3| ^C^7Ти вже зробив замовлення, очікуй доставки"
1604 			"^3| ^C^7Твоє сало прибуло"
NotLesEn		"^3| ^C^7Ти не голодний"
NoTofuWhWork	"^3| ^C^7Ти не можеш заказати сало під час роботи"

4100 			"^3| ^C^7Ти звільнений!"
4101 			"^3| ^C^7Ти втратив замовлення - ^1Звільнений!!!"
