tofu_daln 		"truck drivers"
tofu_118 		"house №118"
tofu_guy 		"guy"
tofu_forest 	"foresters"
tofu_post 		"pointsmen"
tofu_gop 		"hooligan"
tofu_guyonp 	"the guy near the transition"
tofu_szd 		"in exit"
tofu_lovers 	"couple"
tofu_resc 		"rescuers"
tofu_gard 		"огороднику"
tofu_paint 		"gardener"
tofu_mts 		"tractor driver"
tofu_shl 		"prostitutes"
tofu_geo 		"geologist"
tofu_met 		"meteorologists"
tofu_box10 		"in box №10"
tofu_guyonpark 	"the guy opposite the parking"
tofu_oper 		"operator"
tofu_4urk 		"uzbeks"
tofu_drf 		"drifters"
tofu_seller 	"huckster"
tofu_boroda 	"bards"
tofu_tyreseller	"tyre sellers"
tofu_mont 		"electrician"
tofu_gardner 	"gardener in the park"
tofu_taxi 		"taxi dispatcher"
