// ************************
//       интерфейс
// ************************

Energy 			"^%d ^CСилы: %d^KЈҐ"
EnergyArrow		"%s ^KЎи"
LvlAndSkill 	" ^C^7Уровень: ^2%d^7, опыт: ^2%4.2f^KЈҐ"
PitSaveGood 	"^2^CГараж"
PitSaveNotGood 	"^1^CГараж"
401 			"^3^CМагазин"
402 			"^3^CКафе"
404 			"^3^CБанк"
Dist			"^2%4.1f ^C^7Км"

// ************************
//       хелпер
// ************************

200 			"^C^2Машины"
201 			"^C^2Штрафы"
202 			"^C^2О программе"

Help1 			"^1| ^7RUSSIAN CRUISE"
Help2 			"^1| ^C^7!lang rus, eng - ^3выбрать язык"
Help3 			"^1| ^C^7!info (shift+i) - ^3информационный экран"
Help4 			"^1| ^C^7!fines - ^3список штрафов"
Help5 			"^1| ^C^7!cars - ^3список доступных авто"
Help6 			"^1| ^C^7!save - ^3сохранение личных данных"
Help7 			"^1| ^C^7!show - ^3отображение личных данных"
Help8 			"^1| ^C^7!pit - ^3эвакуатор до питов (^7500 ^3RUR)"
Help9 			"^1| ^C^7!coffee - ^3выпить кофе (^750 ^3RUR)"
Help10 			"^1| ^C^7!redbull - ^3выпить энергетик (^7100 ^3RUR)"
Help11 			"^1| ^C^7!tofu - ^3заказать тофу (^7800 ^3RUR)"
Help12 			"^1| ^C^7!users - ^3операции c игроками"
Help13 			"^1| ^C^7!911 - ^3вызов ДПС на место ДТП"
Help14 			"^1| ^C^7!help - ^3список команд"

2400 "^1| ^C^7Установите ограничение впрыска не менее ^2"
2401 "^1| ^C^7Отключите ^2ABS ^7в настройках машины"
2402 "^1| ^C^7У вас очень мало сил"
2403 "^1| ^C^7Выпейте кофе (^3!coffee^7) или Redbull (^3!redbull^7)"
2404 "^1| ^C^7Выберите доступный для вас автомобиль"

3100 "^1| ^C^7Доступные автомобили:"
3101 "^2| ^C^7Список ваших штрафов:"

// ************************
//    список игроков
// ************************

1000 			"^CПередать деньги"
1001 			"^CПередать сообщение"

MsgPlFor		"^C^7Для %s ^7:"
ItsYou			"^C^7Это ты"

SendMoney		"^5| ^C^7Вы отправили ^8%s ^7%d ^3RUR"
GetMoney 		"^5| ^8%s ^C^7отправил вам ^7%d ^3RUR"
1101 			"^1| ^C^7Вы указали сумму больше чем есть у вас на счету"
1102			"^1| ^C^7Попробуйте указать меньшую сумму."
MsgFrom			"^1| ^C^7От ^8%s ^C^7: ^1%s"

// ************************
//       магазин
// ************************

ShopDialog1 	"^2| ^CМагазин"
ShopDialog2 	"^2| ^C^7!buy XFG/XRG/etc - ^2купить машину"
ShopDialog3 	"^2| ^C^7!sell XFG/XRG/etc - ^2продать машину"
ShopDialog4 	"^2| ^C^7!tun ECU/TRB/WHT - ^2купить тюнинг"
ShopDialog5 	"^2| ^C^7!untun ECU/TRB/WHT - ^2продать тюнинг"
1009 			"^1| ^7^CНельзя продать машину, когда вы в ней сидите"
2000 			"^1| ^7^CВы находитесь не в магазине"

// ************************
//         банк
// ************************

GetMoneyA		"^5| ^7^CНа ваш счет поступило %d ^3RUR^7"
RemMoneyA		"^5| ^7^CС вашего счета списано %d ^3RUR^7"

PayDone 		"^5| ^C^7Штраф оплачен"
NoFine 			"^5| ^C^7У вас нет этого штрафа"
NoFines 		"^2| ^C^7У вас нет штрафов"
NoOnBank		"^1| ^C^7Вы находитесь не в банке"
NoManyPay		"^1| ^C^7На вашем счете недостаточно средств"

BankDialog1		"^5| Bank"
BankDialog2		"^5| ^7!credit info N - ^2^Cинформация по кредиту на сумму N"
BankDialog3		"^5| ^7!credit N (!credit 50000) - ^2^Cполучить кредит на сумму N"
BankDialog4		"^5| ^7!repay - ^2^Cпогасить кредит"
BankDialog5		"^5| ^7!deposit info N - ^2^Cинформация по вкладу на сумму N"
BankDialog6		"^5| ^7!deposit N (!deposit 200000) - ^2^Cоткрыть вклад на сумму N"
BankDialog7		"^5| ^7!withdraw - ^2^Cзакрыть вклад"
BankDialog8		"^5| ^7!pay N (!pay 13) - ^2^Cоплатить штраф ID = N"
BankDialog9		"^1| ^1^CОсталось ^7%0.0f ^1дня до снятия кредита!"
BankDialog10	"^1| ^1^CСЕГОДНЯ ПОСЛЕДНИЙ ДЕНЬ ДЛЯ ПОГАШЕНИЯ КРЕДИТА!"
BankDialog11	"^1| ^1^CВЫ ПРОСРОЧИЛИ КРЕДИТ!"
BankDialog12	"^1| ^7^CС вашего счета списан кредит (%d) + штраф за каждый пропущенный день"
BankDialog13	"^5| ^C^7Нужен уровень: ^15"
BankDialog14	"^5| ^7^CОшибка. ^7Укажите сумму от %d ^3RUR ^7до %d ^3RUR^7."
BankDialog15	"^5| ^CИнформация по кредиту"
BankDialog16	"^5| ^7^CВы имеете кредит на сумму %d ^3RUR^7. Дата выдачи: %s"
BankDialog17	"^5| ^7^CСумма возврата: %d ^3RUR^7."
BankDialog18	"^5| ^7^CВремя до снятия: ^2%0.0f ^7дней."
BankDialog19	"^5| ^7^CВам доступен кредит на сумму от %d ^3RUR ^7до %d ^3RUR^7."
BankDialog20	"^5| ^C^7Кредит выдается под ^230 %^7, на срок не более ^230^7 дней."
BankDialog21	"^5| ^C^7При досрочном погашении будет снята полная сумма кредита + процент."
BankDialog22	"^5| ^7^CЖелаемая сумма: %d ^3RUR^7."
BankDialog23	"^5| ^7^CСумма возврата: %d ^3RUR^7."
BankDialog24	"^5| ^C^7Вы не можете взять кредит, не закрыв вклад."
BankDialog25	"^5| ^C^7Нужен уровень: ^15"
