// ************************
//       интерфейс
// ************************

Energy 			"^%d ^CУдаль: %d^KЈҐ"
EnergyArrow		"%s ^KЎи"
LvlAndSkill 	" ^C^7Чин: ^2%d^7, мастерство: ^2%4.2f^KЈҐ"
PitSaveGood 	"^2^CКонюшня"
PitSaveNotGood 	"^3^CСело"
401 			"^3^CЛавка"
402 			"^3^CХарчевня"
404 			"^3^CКазначейство"
Dist			"^2%4.1f ^C^7верст"
Cash 			"%d ^7^Cруб"

// ************************
//       хелпер
// ************************

200 			"^C^2Самоходки"
201 			"^C^2Пени"
202 			"^C^2О программе"

Help1 			"^1| ^7^CСТАРОСЛАВЯНСКИЕ ГУЛЯНИЯ"
Help2 			"^1| ^C^7!lang %s - ^3выбрать наречие"
Help3 			"^1| ^C^7!info (shift+i) - ^3ведомость"
Help4 			"^1| ^C^7!fines - ^3грамота повинностей"
Help5 			"^1| ^C^7!cars - ^3телеги самоходные"
Help6 			"^1| ^C^7!save - ^3приданое схоронить"
Help7 			"^1| ^C^7!show - ^3себя показать"
Help8 			"^1| ^C^7!pit - ^3кобыла до конюшни (^7500 ^3Целковых)"
Help9 			"^1| ^C^7!coffee - ^3испить бодрящего напитку (^750 ^3Целковых)"
Help10 		"^1| ^C^7!redbull - ^3отведать зелья (^7100 ^3Целковых)"
Help11 		"^1| ^C^7!tofu - ^3заказать сырных булок (^7800 ^3Целковых)"
Help12 		"^1| ^C^7!users - ^3операции c холопами"
Help13 		"^1| ^C^7!911 - ^3кликнуть дружинника"
Help14 		"^1| ^C^7!help - ^3список команд"

2400 		"^1| ^C^7Установите ограничение впрыска не менее ^2"
2402 		"^1| ^C^7У вас бледный вид"
2403 		"^1| ^C^7Испейте бодрящего напитку (^3!coffee^7) или крепкой настойки (^3!redbull^7)"
2404 		"^1| ^C^7Выберите доступную для вас телегу"

3100 		"^1| ^C^7Телеги самоходные:"
3101 		"^2| ^C^7Грамота повинностей:"

// ************************
//    список холопов
// ************************

1000 			"^CПередать целковых"
1001 			"^CПосласть письмо"

MsgPlFor		"^C^7Для %s"
ItsYou			"^C^7Аз езъм Вы"

SendMoney		"^5| ^C^7Вы передали ^8%s ^7%d ^3^CЦелковых"
GetMoney 		"^5| ^8%s ^C^7передал вам ^7%d ^3Целковых"
1101 			"^1| ^C^7Ваш кошель пуст"
1102			"^1| ^C^7Попробуйте передать меньше целковых"
MsgFrom		"^1| ^8%s ^C^7глаголит : ^1%s"

// ************************
//       магазин
// ************************

ShopDialog1 		"^2| ^CЛавка"
ShopDialog2 		"^2| ^C^7!buy XFG/XRG/etc - ^2купить самоходну телегу"
ShopDialog3 		"^2| ^C^7!sell XFG/XRG/etc - ^2продать самоходну телегу"
ShopDialog4 		"^2| ^C^7!tun ECU/TRB/WHT - ^2купить бирюльки"
ShopDialog5 		"^2| ^C^7!untun ECU/TRB/WHT - ^2продать бирюльки"
1009 			"^1| ^7^CНельзя продать самоходну телегу, когда вы в ней сидите"
2000 			"^1| ^7^CВы находитесь не в лавке"

// ************************
//         банк
// ************************

GetMoneyA		"^5| ^7^CВ ваш кошель положено %d ^3Целковых^7"
RemMoneyA		"^5| ^7^CИз вашего кошеля изъято %d ^3Целковых^7"

PayDone 		"^5| ^C^7Повинность замолена"
NoFine 		"^5| ^C^7У вас нет повинности"
NoFines 		"^2| ^C^7У вас нет повинностей"
NoOnBank		"^1| ^C^7Вы находитесь не в казначействе"
NoManyPay		"^1| ^C^7Ваш кошель пустъ"

BankDialog1		"^5| ^CКазначейство"
BankDialog2		"^5| ^7!credit info N - ^2^Cинформация по займу на сумму N"
BankDialog3		"^5| ^7!credit N (!credit 50000) - ^2^Cполучить займ на сумму N"
BankDialog4		"^5| ^7!repay - ^2^Cотдать займъ"
BankDialog5		"^5| ^7!deposit info N - ^2^Cинформация по вкладу на сумму N"
BankDialog6		"^5| ^7!deposit N (!deposit 200000) - ^2^Cоткрыть вклад на сумму N"
BankDialog7		"^5| ^7!withdraw - ^2^Cзакрыть вклад"
BankDialog8		"^5| ^7!pay N (!pay 13) - ^2^Cоплатить штраф ID = N"
BankDialog9		"^1| ^1^CОсталось ^7%0.0f ^1дня до снятия займа!"
BankDialog10	"^1| ^1^CСЕГОДНЯ ПОСЛЕДНИЙ ДЕНЬ ДЛЯВОЗВРАТА ЗАЙМА!"
BankDialog11	"^1| ^1^CВЫ НЕ ОТДАЛИ ЗАЙМ!"
BankDialog12	"^1| ^7^CС вашего счета списан займ (%d) + пеня за каждый пропущенный день"
BankDialog13	"^5| ^C^7Нужен уровень: ^15"
BankDialog14	"^5| ^7^CОшибка. ^7Укажите сумму от %d ^3Целковых ^7до %d ^3Целковых^7."
BankDialog15	"^5| ^CИнформация по займу"
BankDialog16	"^5| ^7^CВы имеете займ на сумму %d ^3Целковых^7. Дата выдачи: %s"
BankDialog17	"^5| ^7^CСумма возврата: %d ^3Целковых^7."
BankDialog18	"^5| ^7^CВремя до снятия: ^2%0.0f ^7дней."
BankDialog19	"^5| ^7^CВам доступен займ на сумму от %d ^3Целковых ^7до %d ^3Целковых^7."
BankDialog20	"^5| ^C^7Займ выдается под ^230 %^7, на срок не более ^230^7 дней."
BankDialog21	"^5| ^C^7При досрочном погашении будет снята полная сумма займа + процент."
BankDialog22	"^5| ^7^CЖелаемая сумма: %d ^3Целковых^7."
BankDialog23	"^5| ^7^CСумма возврата: %d ^3Целковых^7."
BankDialog24	"^5| ^C^7Вы не можете взять займ, не закрыв вклад."
BankDialog25	"^5| ^C^7Нужен уровень: ^15"
BankDialog26	"^5| ^C^7У вас уже оформлен займ (^3!credit info^7)"
BankDialog27	"^5| ^7^CОшибка. ^7Укажите сумму от %d ^3Целковых ^7до %d ^3Целковых^7."
BankDialog28	"^5| ^C^7В выдаче займа ^1отказано^7."
BankDialog29	"^5| ^C^7Сумма на вашем счете превышает размер займа более чем в половину."
BankDialog30	"^5| ^C^7В выдаче займа ^1отказано^7."
BankDialog31	"^5| ^C^7Сумма на вашем счете ниже -50000 3Целковых^7."
BankDialog32	"^5| ^7^CВам выдан займ на сумму %d ^3Целковых^7."
BankDialog33	"^5| ^C^7У вас нет займов."
BankDialog34	"^5| ^C^7На вашем счете недостаточно средств для погашения займа."
BankDialog35	"^5| ^7^CВы отдали займ."
BankDialog36	"^5| ^C^7Нужен уровень: ^120"
BankDialog37	"^5| ^7^CОшибка. ^7Укажите сумму до %d ^3Целковых."
BankDialog38	"^5| ^CИнформация по вкладу"
BankDialog39	"^5| ^7^CВы имеете вклад на сумму %d ^3Целковых^7. Дата открытия: %s"
BankDialog40	"^5| ^7^CСумма на данный момент: %d ^3Целковых^7 (%d ^3Целковых^7 в сутки)"
BankDialog41	"^5| ^7^CСрок вклада истек, проценты не начисляются."
BankDialog42	"^5| ^7^CСумма на данный момент: %d ^3Целковых^7 (%d ^3Целковых^7 в сутки)"
BankDialog43	"^5| ^7^CДо закрытия вклада осталось: ^2%0.0f ^7дней."
BankDialog44	"^5| ^7^CВам доступен вклад на сумму до %d ^3Целковых."
BankDialog45	"^5| ^C^7Вклад открывается под ^215 %^7 в месяц, на срок не более ^230^7 дней."
BankDialog46	"^5| ^7^CЖелаемая сумма вклада: %d ^3Целковых^7."
BankDialog47	"^5| ^7^CСумма с учетом процентов через ^230 ^7дней: %d ^3Целковых^7 (%d ^3Целковых^7 в сутки)."
BankDialog48	"^5| ^7^CВы можете закрыть вклад не ранее чем через ^214 ^7дней с момента вклада."
BankDialog49	"^5| ^C^7Вы не можете открыть вклад, не отдав займ."
BankDialog50	"^5| ^C^7Нужен уровень: ^120"
BankDialog51	"^5| ^C^7У вас уже открыт вклад (^3!deposit info^7)."
BankDialog52	"^5| ^7^CОшибка. ^7Укажите сумму до %d ^3Целковых."
BankDialog53	"^5| ^C^7На вашем счете недостаточно средств для открытия вклада."
BankDialog54	"^5| ^7^CВы открыли вклад на сумму %d ^3Целковых^7."
