tofu_daln 		"дальнобойщикам"
tofu_118 		"дом 118"
tofu_guy 		"парню"
tofu_forest 	"лесничим"
tofu_post 		"постовым"
tofu_gop 		"калининскому гопнику"
tofu_gayonp 	"парню возле перехода"
tofu_szd 		"в съезд"
tofu_lovers 	"парочке"
tofu_resc 		"спасател€м"
tofu_gard 		"огороднику"
tofu_paint 		"мал€рам"
tofu_mts 		"трактористу"
tofu_shl 		"ночным бабочкам"
tofu_geo 		"геологу"
tofu_met 		"метеорологам"
tofu_box10 		"в гараж є10"
tofu_gayonpark 	"парню напротив парковки"
tofu_oper 		"оператору"
tofu_4urk 		"узбекам"
tofu_drf 		"дрифтерам"
tofu_seller 	"барыге"
tofu_boroda 	"бардам"
tofu_tyreseller	"продавцам резины"
tofu_mont 		"монтеру"
tofu_gardner 	"садовнику в парке"
tofu_taxi 		"диспетчеру такси"
