//axm.x * 4096, axm.y * 4096, axm.Zchar, axm.Heading, StreetID

11927552, 18300928, 5, 201, 0
13164544, 23195648, 1, 201, 0
14262272, 26832896, 0, 201, 0
11792384, -5640192, 6, 201, 0
10268672, -8245248, 4, 60, 0
10252288, -4714496, 6, 60, 0
10313728, 6201344, 17, 60, 0
10264576, 12890112, 13, 60, 0
11206656, 20623360, 3, 60, 0
12808192, 26034176, 1, 60, 0
19521536, 21430272, 20, 189, 0
18993152, 18759680, 17, 189, 0
-28717056, -27037696, 0, 63, 9
19570688, 12210176, 6, 197, 0
18800640, 6664192, 2, 197, 0
19263488, 4911104, 4, 197, 0
22474752, -1445888, 30, 231, 0
23007232, -3174400, 33, 121, 0
25702400, -9240576, 50, 186, 1
24129536, -8970240, 44, 60, 1
17268736, -15085568, 7, 151, 1
14106624, -21815296, 4, 104, 2
14241792, -22159360, 4, 115, 2
16760832, -30781440, 3, 40, 2
19574784, -31186944, 6, 137, 2
12001280, -27205632, 8, 69, 3
12046336, -38432768, -3, 79, 4
12025856, -46018560, 8, 79, 5
12103680, -49274880, 14, 79, 5
13553664, -49528832, 12, 217, 5
8073216, -56680448, 27, 28, 5
9342976, -57786368, 27, 160, 5
143360, -54878208, 28, 196, 5
-1650688, -53440512, 27, 72, 5
22806528, -37015552, 31, 37, 7
25477120, -37453824, 31, 148, 7
32694272, -34328576, 31, 178, 7
34967552, -29978624, 32, 178, 7
35201024, -21487616, 48, 228, 7
31911936, -17776640, 54, 74, 7
30883840, -12972032, 55, 74, 7
32198656, -11509760, 53, 204, 7
-19415040, -49963008, 17, 137, 8
-23486464, -43929600, 19, 215, 9
-28381184, -32673792, 3, 187, 9
-30064640, -33218560, 4, 63, 9
-28717056, -27037696, 0, 63, 9
-25772032, -20717568, 1, 209, 9
-21614592, -12619776, 1, 178, 9
-19111936, -8200192, 8, 35, 9
-15024128, -6787072, 22, 190, 9
-12754944, 2011136, 30, 218, 9
-13979648, 7208960, 36, 218, 9
-14512128, 4009984, 30, 86, 9
-16244736, 18063360, 52, 86, 9
-14311424, 24780800, 56, 218, 9
-11362304, 31690752, 43, 60, 9
-7798784, 26099712, 44, 60, 10
-1572864, 27889664, 4, 60, 10
-3031040, 25440256, 13, 46, 10
-1458176, 24608768, 11, 181, 10
-4677632, 20291584, 38, 165, 10
1478656, 22601728, 5, 83, 11
2703360, 21561344, 6, 184, 11
1822720, 12767232, 13, 196, 11
823296, 17580032, 10, 83, 11
-12288, 9838592, 13, 83, 11
790528, -1306624, 2, 83, 12
-552960, -9646080, 0, 83, 12
-1449984, -19603456, 3, 83, 12
-1101824, -31084544, 17, 83, 12
786432, -38039552, 22, 212, 12
745472, -32518144, 20, 212, 12
-135168, -20025344, 4, 212, 12
499712, -13402112, 0, 200, 12
1482752, -6422528, 0, 223, 12
-3407872, -42721280, 18, 186, 12
-7921664, -41156608, 21, 19, 15
-8888320, -42418176, 25, 157, 15
-12873728, -39624704, 27, 115, 15
-7294976, -36786176, 26, 136, 16
-4423680, -35524608, 26, 177, 16
-4501504, -31723520, 29, 226, 16
-5025792, -25112576, 26, 215, 16
-5967872, -22781952, 24, 216, 16
-7233536, -22769664, 24, 91, 16
-6778880, -28717056, 24, 91, 16
-9113600, -35139584, 28, 6, 16
-13524992, -29413376, 27, 229, 14
-12984320, -30584832, 27, 229, 14
-14733312, -26873856, 28, 229, 14
-11984896, -22212608, 37, 146, 14
-11223040, -20406272, 31, 45, 14
-5169152, -15290368, 30, 187, 13
-1499136, -5771264, 41, 221, 13
-4714496, -12320768, 37, 53, 13
-3661824, -10317824, 41, 53, 13
-5431296, -5332992, 41, 44, 13
-7012352, -7020544, 39, 60, 13
-6254592, -8511488, 40, 183, 13
-8237056, -7131136, 32, 169, 13
-6795264, -5849088, 30, 169, 13
-3702784, -3145728, 29, 187, 13
-5451776, -3076096, 31, 48, 13
-4653056, 1220608, 18, 239, 13
-5935104, 5169152, 14, 40, 13
-1478656, 5378048, 10, 17, 13
-2568192, 4218880, 10, 131, 13
